Date,Buckhorn,Jackson,Oneida,Whitesburg
2017-01-01 00:00:00,5.334,2.032,7.62,2.032
2017-01-02 00:00:00,3.556,0,2.54,1.27
2017-01-03 00:00:00,6.35,12.7,6.35,1.524
2017-01-04 00:00:00,5.842,1.016,5.08,11.684
2017-01-05 00:00:00,0.508,4.064,0.254,2.032
2017-01-06 00:00:00,2.286,0.254,2.54,3.81
2017-01-07 00:00:00,0.508,0,0,3.048
2017-01-08 00:00:00,1.524,0,0,0
2017-01-09 00:00:00,0.508,0,0,0
2017-01-10 00:00:00,0,8.636,0,0
2017-01-11 00:00:00,7.62,4.064,8.382,4.064
2017-01-12 00:00:00,4.318,7.112,3.81,4.826
2017-01-13 00:00:00,12.192,10.668,12.7,7.366
2017-01-14 00:00:00,4.318,6.604,3.048,7.62
2017-01-15 00:00:00,5.08,2.286,6.604,9.144
2017-01-16 00:00:00,4.318,0,0,0.508
2017-01-17 00:00:00,12.7,13.208,15.24,4.318
2017-01-18 00:00:00,6.096,0,5.842,10.414
2017-01-19 00:00:00,0,1.016,0,0
2017-01-20 00:00:00,6.858,4.572,12.7,1.778
2017-01-21 00:00:00,0.254,0.254,0,0
2017-01-22 00:00:00,0.508,4.318,3.302,1.524
2017-01-23 00:00:00,21.336,30.734,17.018,24.892
2017-01-24 00:00:00,9.398,1.27,8.636,31.496
2017-01-25 00:00:00,0.508,1.778,0.254,1.016
2017-01-26 00:00:00,0.762,0,1.016,1.778
2017-01-27 00:00:00,1.016,0.254,0.254,0
2017-01-28 00:00:00,0,0,0.254,0.762
2017-01-29 00:00:00,0,2.54,0.508,0
2017-01-30 00:00:00,2.032,0.254,1.27,2.286
2017-01-31 00:00:00,0,0,0,0
2017-02-01 00:00:00,0,0,0,0
2017-02-02 00:00:00,0,0,0,0
2017-02-03 00:00:00,0,0,0,0
2017-02-04 00:00:00,0,0,0,0
2017-02-05 00:00:00,0,0,0,0
2017-02-06 00:00:00,0,1.27,0,0
2017-02-07 00:00:00,0.508,6.604,0.254,0
2017-02-08 00:00:00,5.842,24.13,6.604,1.016
2017-02-09 00:00:00,9.906,0,5.334,9.398
2017-02-10 00:00:00,0.508,0,0.254,0
2017-02-11 00:00:00,0,0,0,0
2017-02-12 00:00:00,0,0,0,0
2017-02-13 00:00:00,0,0,0,0.762
2017-02-14 00:00:00,0,0,0,0
2017-02-15 00:00:00,2.54,0,4.064,12.446
2017-02-16 00:00:00,0,0,0,0
2017-02-17 00:00:00,0,0,0,0
2017-02-18 00:00:00,0,0.508,0.508,0
2017-02-19 00:00:00,1.524,0,1.27,0.762
2017-02-20 00:00:00,0,0,0,0
2017-02-21 00:00:00,0,0,0,0
2017-02-22 00:00:00,8.128,7.366,6.35,0
2017-02-23 00:00:00,1.016,0,0.508,0
2017-02-24 00:00:00,0,0,0,0
2017-02-25 00:00:00,16.256,14.732,13.97,18.034
2017-02-26 00:00:00,0,0,0,0
2017-02-27 00:00:00,0,0,0,0
2017-02-28 00:00:00,1.27,18.034,1.27,0
2017-03-01 00:00:00,2.794,23.368,2.54,6.096
2017-03-02 00:00:00,19.05,0,16.51,23.876
